site,CLASS,lat,lon,noflowfraction_mean,n_years
8205500,Non-ref,28.73664429,-99.1447556,0.31961435457142856,35
8206600,Non-ref,28.46749279,-98.5475174,0.06632328892307693,39
8208000,Non-ref,28.62220899,-98.2813988,0.046179198842105265,38
8247500,Non-ref,36.99306944,-106.0386325,0.09644747205128205,39
8249000,Non-ref,37.30028754,-105.7469627,0.09224684717948718,39
8317950,Non-ref,35.46465278,-106.2133889,0.6099764307692308,39
8334000,Non-ref,35.60088889,-107.1666111,0.49911113025641024,39
8353000,Non-ref,34.41027778,-106.8544444,0.4413924772972973,37
8382500,Non-ref,35.1819611,-104.9002667,0.24591160435897436,39
8382600,Non-ref,35.09138889,-104.8005556,0.31348667333333335,39
8382830,Non-ref,35.02416667,-104.6888889,0.1472035410526316,38
8390500,Non-ref,33.34916667,-104.8516667,0.6205491792307692,39
8390800,Non-ref,33.29986944,-104.721675,0.6813068661538462,39
8408500,Non-ref,32.02314167,-104.0544556,0.12572734764102564,39
9166950,Non-ref,37.44610459,-108.4692562,0.29264650176470586,34
9291000,Non-ref,40.55633555,-110.4846056,0.3277077141025641,39
9371000,Non-ref,37.02749425,-108.7414838,0.09464185692307693,39
9378170,Ref,37.8466608,-109.3695625,0.11180477606060606,33
9378630,Ref,37.7555504,-109.476511,0.3827672135897436,39
9379200,Non-ref,36.943891,-109.7106684,0.18306004615384616,39
9386030,Non-ref,34.5836456,-109.4070467,0.30488558974358976,39
9386900,Ref,35.28255278,-108.552975,0.1122805856923077,39
9386950,Non-ref,35.10027778,-108.7516667,0.4960186441025641,39
9394500,Non-ref,34.7828076,-110.0442837,0.04566899305263158,38
9401260,Non-ref,36.10499334,-111.2018069,0.20559399974358974,39
9423350,Ref,35.24498915,-115.2988759,0.8403290894736842,38
9424900,Non-ref,34.305854,-113.3471441,0.7005510388888889,36
9430600,Ref,33.16666667,-108.6497222,0.08068795666666667,39
9468500,Non-ref,33.29644678,-110.4514876,0.20325201092307693,39
9480000,Ref,31.35537817,-110.5895264,0.047359786470588236,34
9499000,Non-ref,33.9800413,-111.3034659,0.08677180925641026,39
9505350,Ref,34.72863146,-111.775708,0.6785077615384616,39
9508300,Ref,34.16086787,-111.6929235,0.2486411764102564,39
9510200,Ref,33.69421054,-111.541802,0.20230997692307692,39
9512280,Ref,33.88725977,-111.9540388,0.5259929826315789,38
9512800,Non-ref,34.01558948,-112.1679378,0.07617317458974358,39
9513780,Ref,33.97420168,-112.0990458,0.6031019435897436,39
9517490,Non-ref,33.31031984,-112.8818423,0.93624214375,32
9535100,Ref,32.044237,-112.3709706,0.9216213805555555,36
