currentclimyear,noflowdays,totaldays,annualfractionnoflow,zeroflowfirst,gage_ID
2013,0,365,0,NA,1403400
2014,0,365,0,NA,1403400
2015,0,366,0,NA,1403400
2016,0,365,0,NA,1403400
2017,0,365,0,NA,1403400
1980,0,365,0,NA,1403540
1981,0,365,0,NA,1403540
1982,2,365,0.005479452054794521,171,1403540
1983,0,366,0,NA,1403540
1984,0,365,0,NA,1403540
1985,0,365,0,NA,1403540
1986,0,365,0,NA,1403540
1987,0,366,0,NA,1403540
1988,0,365,0,NA,1403540
1989,0,365,0,NA,1403540
1990,0,365,0,NA,1403540
1991,0,366,0,NA,1403540
1992,0,365,0,NA,1403540
1993,0,365,0,NA,1403540
1994,0,365,0,NA,1403540
1995,0,366,0,NA,1403540
1996,0,365,0,NA,1403540
1997,0,365,0,NA,1403540
1998,0,365,0,NA,1403540
1999,0,366,0,NA,1403540
2000,0,365,0,NA,1403540
2001,0,365,0,NA,1403540
2002,0,365,0,NA,1403540
2003,0,366,0,NA,1403540
2004,0,365,0,NA,1403540
2005,0,365,0,NA,1403540
2006,0,365,0,NA,1403540
2007,0,366,0,NA,1403540
2008,0,365,0,NA,1403540
2009,0,365,0,NA,1403540
2010,0,365,0,NA,1403540
2011,0,366,0,NA,1403540
2012,0,365,0,NA,1403540
2013,0,365,0,NA,1403540
2014,0,365,0,NA,1403540
2015,0,366,0,NA,1403540
2016,0,365,0,NA,1403540
2017,0,365,0,NA,1403540
1980,0,365,0,NA,1405400
1981,0,365,0,NA,1405400
1982,0,365,0,NA,1405400
1983,0,366,0,NA,1405400
1984,0,365,0,NA,1405400
1985,0,365,0,NA,1405400
1986,1,365,0.0027397260273972603,195,1405400
1987,0,366,0,NA,1405400
1988,0,365,0,NA,1405400
1989,0,365,0,NA,1405400
1990,0,365,0,NA,1405400
1991,3,366,0.00819672131147541,164,1405400
1992,0,365,0,NA,1405400
1993,0,365,0,NA,1405400
1994,0,365,0,NA,1405400
1995,0,366,0,NA,1405400
1996,0,365,0,NA,1405400
1997,0,365,0,NA,1405400
1998,1,365,0.0027397260273972603,154,1405400
1999,0,366,0,NA,1405400
2000,0,365,0,NA,1405400
2001,0,365,0,NA,1405400
2002,0,365,0,NA,1405400
2003,0,366,0,NA,1405400
2004,0,365,0,NA,1405400
2005,0,365,0,NA,1405400
2006,0,365,0,NA,1405400
2007,0,366,0,NA,1405400
2008,0,365,0,NA,1405400
2009,0,365,0,NA,1405400
2010,0,365,0,NA,1405400
2011,0,366,0,NA,1405400
2012,1,365,0.0027397260273972603,212,1405400
2013,1,365,0.0027397260273972603,197,1405400
2014,0,365,0,NA,1405400
2015,0,366,0,NA,1405400
2016,0,365,0,NA,1405400
2017,0,365,0,NA,1405400
1980,193,365,0.5287671232876713,89,1407500
1981,202,365,0.5534246575342465,61,1407500
1982,175,365,0.4794520547945205,105,1407500
1983,122,366,0.3333333333333333,103,1407500
1984,0,365,0,NA,1407500
1985,177,365,0.4849315068493151,30,1407500
1986,154,365,0.42191780821917807,64,1407500
1987,25,366,0.06830601092896176,142,1407500
1988,252,365,0.6904109589041096,76,1407500
1989,0,365,0,NA,1407500
1990,14,365,0.038356164383561646,192,1407500
1991,167,366,0.4562841530054645,78,1407500
1992,40,365,0.1095890410958904,159,1407500
1993,50,365,0.136986301369863,90,1407500
1994,9,365,0.024657534246575342,104,1407500
1995,118,366,0.3224043715846995,81,1407500
1996,9,365,0.024657534246575342,89,1407500
1997,98,365,0.2684931506849315,92,1407500
1998,154,365,0.42191780821917807,119,1407500
1999,102,366,0.2786885245901639,67,1407500
2000,46,365,0.12602739726027398,92,1407500
2001,0,365,0,NA,1407500
2002,0,365,0,NA,1407500
2003,0,366,0,NA,1407500
2004,0,365,0,NA,1407500
2005,0,365,0,NA,1407500
2006,0,365,0,NA,1407500
2007,0,366,0,NA,1407500
2008,0,365,0,NA,1407500
2009,0,365,0,NA,1407500
2010,0,365,0,NA,1407500
2011,0,366,0,NA,1407500
2012,0,365,0,NA,1407500
2013,0,365,0,NA,1407500
2014,0,365,0,NA,1407500
2015,0,366,0,NA,1407500
2016,0,365,0,NA,1407500
2017,0,365,0,NA,1407500
1980,0,365,0,NA,1407705
1981,2,365,0.005479452054794521,173,1407705
1982,0,365,0,NA,1407705
1983,0,366,0,NA,1407705
1984,0,365,0,NA,1407705
1985,0,365,0,NA,1407705
1986,0,365,0,NA,1407705
1987,0,366,0,NA,1407705
1988,0,365,0,NA,1407705
1989,0,365,0,NA,1407705
1990,0,365,0,NA,1407705
1991,0,366,0,NA,1407705
1992,0,365,0,NA,1407705
1993,0,365,0,NA,1407705
1994,0,365,0,NA,1407705
1995,0,366,0,NA,1407705
1996,0,365,0,NA,1407705
1997,0,365,0,NA,1407705
1998,0,365,0,NA,1407705
1999,0,366,0,NA,1407705
2000,0,365,0,NA,1407705
2001,0,365,0,NA,1407705
2002,0,365,0,NA,1407705
2003,0,366,0,NA,1407705
2004,0,365,0,NA,1407705
2005,0,365,0,NA,1407705
2006,0,365,0,NA,1407705
2007,0,366,0,NA,1407705
2008,0,365,0,NA,1407705
2009,0,365,0,NA,1407705
2010,0,365,0,NA,1407705
2011,0,366,0,NA,1407705
2012,0,365,0,NA,1407705
2013,0,365,0,NA,1407705
2014,0,365,0,NA,1407705
2015,0,366,0,NA,1407705
2016,0,365,0,NA,1407705
2017,0,365,0,NA,1407705
1983,0,183,0,NA,1472620
1984,0,365,0,NA,1472620
1985,22,365,0.06027397260273973,111,1472620
1986,38,365,0.10410958904109589,64,1472620
1987,12,366,0.03278688524590164,75,1472620
1988,17,365,0.04657534246575343,91,1472620
1989,0,365,0,NA,1472620
1990,0,365,0,NA,1472620
1991,0,366,0,NA,1472620
1992,0,365,0,NA,1472620
1993,0,365,0,NA,1472620
1994,0,365,0,NA,1472620
1995,0,366,0,NA,1472620
